BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,TRAFFIC SIGNAL RAIL CROSSING IMPROVEMENT PROJECT,0.00,0.00,4597340.00,0.00,0.00,4597340.00,0.00,0.00,4597340.00,,655,94NT56
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BICYCLE PLAN/PROGRAM - OTHER,0.00,993117.17,1886490.69,0.00,0.00,1886490.69,0.00,0.00,893373.52,SPECIAL,59C,94T482
2013,TRANSPORTATION,SPECIAL PARKING REVENUE,GSD-RELATED COST,0.00,323892.00,323892.00,0.00,0.00,323892.00,0.00,0.00,0.00,,363,94J940
2018,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,SCHOOLBIKE&TRANSITEDUCPROGRAM,300000.00,299000.00,0.00,0.00,0.00,300000.00,0.00,0.00,1000.00,,540,94P337
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS EXPANSION,10000000.00,0.00,-10000000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94NA06
2024,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRAFFIC SIGNAL SUPPLIES,2094145.00,0.00,0.00,0.00,0.00,2094145.00,0.00,0.00,2094145.00,SPECIAL,59C,94Y800
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BUREAU OF STREET SERVICES,23696033.00,26223472.00,2531200.00,0.00,0.00,26227233.00,0.00,0.00,3761.00,,51Q,94W186
2012,TRANSPORTATION,LOCAL TRANSPORTATION,CAPITAL IMPROVEMENT EXPENDITURE PROGRAM,7164209.00,0.00,-7164209.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94H304
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PERSONNEL,379898.00,63316.34,0.00,0.00,0.00,379898.00,0.00,0.00,316581.66,,540,94Y166
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,2019 SOUTH BAY MSP/SBHP 5 SIGNAL MOD & OPER IMPROV,0.00,0.00,2380000.00,0.00,0.00,2380000.00,0.00,0.00,2380000.00,,655,94ST1V
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,MAYOR,141363.00,139629.69,0.00,0.00,0.00,141363.00,0.00,0.00,1733.31,,540,94W146
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRANSPORTATION,40709587.00,37246017.19,0.00,0.00,0.00,40709587.00,0.00,0.00,3463569.81,,540,94W194
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,PAINT AND SIGN MAINTENANCE,1171000.00,1170931.41,0.00,0.00,0.00,1171000.00,3886.25,0.00,68.59,SPECIAL,59C,94T478
2023,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,TRANSPORTATION,327465.00,77388.58,70000.00,0.00,0.00,397465.00,0.00,0.00,320076.42,,573,94W194
2023,TRANSPORTATION,NEIGHBORHOOD TRAFFIC MGMT,TRANSPORTATION,0.00,28812.15,58000.00,0.00,0.00,58000.00,0.00,0.00,29187.85,,47H,94194W
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TRANSPORTATION,2753758.00,3874805.73,1121047.73,0.00,0.00,3874805.73,0.00,0.00,0.00,,51Q,94K194
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,ECO RAPID TRANSIT JPA,50000.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,50000.00,SPECIAL,385,94VA16
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BUREAU OF CONTRACT ADMINISTRATION,4729540.00,788256.66,0.00,0.00,0.00,4729540.00,0.00,0.00,3941283.34,,540,94Y176
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PATH MAINTENANCE,1306768.00,756124.26,0.00,0.00,0.00,1306768.00,756124.26,0.00,550643.74,SPECIAL,540,94Y992
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,SPEED HUMP PROGRAM,1815705.00,1050810.73,0.00,0.00,0.00,1815705.00,16481.26,0.00,764894.27,SPECIAL,59C,94VD11
2014,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,TRANSPORTATION,49025.00,87241.60,38216.60,0.00,0.00,87241.60,0.00,0.00,0.00,,681,94K194
2019,TRANSPORTATION,NEIGHBORHOOD TRAFFIC MGMT,DEERLAKE NTM,0.00,0.00,212000.00,0.00,0.00,212000.00,0.00,0.00,212000.00,,47H,94RN18
2013,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MARKETING CITY TRANSIT PROGRAM,1700000.00,1538951.05,-161048.95,0.00,0.00,1538951.05,0.00,0.00,0.00,,385,94J442
2023,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,BUREAU OF STREET SERVICES,0.00,61009.00,141000.00,0.00,0.00,141000.00,0.00,0.00,79991.00,,447,94186W
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PERSONNEL,113245.00,101876.69,0.00,0.00,0.00,113245.00,0.00,0.00,11368.31,,51Q,94W166
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,FUTURE COMMUNITIES PILOT PROGRAM,0.00,0.00,500000.00,0.00,0.00,500000.00,0.00,0.00,500000.00,,655,94ST1B
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TRANSPORTATION,6104006.00,1017334.34,0.00,0.00,0.00,6104006.00,0.00,0.00,5086671.66,,51Q,94Y194
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BUREAU OF ENGINEERING,648031.00,108005.16,0.00,0.00,0.00,648031.00,0.00,0.00,540025.84,,51Q,94Y178
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BUREAU OF STREET SERVICES,2109174.00,2036500.67,-64157.00,0.00,0.00,2045017.00,0.00,0.00,8516.33,,385,94T186
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,UNAPPROPRIATED BALANCE,62108.00,0.00,-62108.00,0.00,0.00,0.00,0.00,0.00,0.00,,59C,94P158
2020,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UTILITIES EXPENSE PRIVATE COMPANY,95000.00,64579.41,0.00,0.00,0.00,95000.00,0.00,0.00,30420.59,EXPENSES,100,003330
2019,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,PERSONNEL,565457.00,491391.51,-74065.49,0.00,0.00,491391.51,0.00,0.00,0.00,,528,94166R
2018,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC LOOP CREW EQUIPMENT,0.00,325429.00,350000.00,0.00,0.00,350000.00,0.00,0.00,24571.00,,540,94PC07
2022,TRANSPORTATION,TRANSPORTATION GRANTS FUND,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,1169142.81,1169142.81,0.00,0.00,1169142.81,0.00,0.00,0.00,,655,94V299
2016,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ADMINISTRATIVE OFFICER,63926.00,34217.97,-29708.03,0.00,0.00,34217.97,0.00,0.00,0.00,,540,94M110
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BUREAU OF STREET LIGHTING,2996400.00,2313413.99,0.00,0.00,0.00,2996400.00,0.00,0.00,682986.01,,540,94W184
2015,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,GENERAL SERVICES,0.00,689642.37,689642.37,0.00,0.00,689642.37,0.00,0.00,0.00,,385,94L140
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PAINT AND SIGN MAINTENANCE,107974.00,107367.82,0.00,0.00,0.00,107974.00,-0.00,0.00,606.18,SPECIAL,540,94R478
2014,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),HIRING HALL SALARIES,100000.00,63579.93,0.00,0.00,0.00,100000.00,0.00,0.00,36420.07,SALARIES AND BENEFITS,100,001100
2021,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BUREAU OF STREET SERVICES,24202956.00,20177148.85,-3623327.36,0.00,0.00,20579628.64,0.00,0.00,402479.79,,51Q,94T186
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BUREAU OF STREET LIGHTING,0.00,25211.91,331643.00,0.00,0.00,331643.00,0.00,0.00,306431.09,,385,94W184
2017,TRANSPORTATION,DEPT TRANSPORTATION TRUST,VENICE BOULEVARD GREAT STREETS IMPROVEMENTS,0.00,1500000.00,1500000.00,0.00,0.00,1500000.00,0.00,0.00,0.00,,840,94NE02
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CITY OF LA ESTSIDE TRANS LINKAGE PH II,0.00,248603.50,326220.00,0.00,0.00,326220.00,0.00,0.00,77616.50,,655,94LT35
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRAFFIC SIGNAL SUPPLIES,0.00,2863720.82,2863726.37,0.00,0.00,2863726.37,-0.00,0.00,5.55,SPECIAL,59C,94T800
2013,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,BICYCLE PATROL PROGRAM (VARIOUS DEPTS),70000.00,68578.28,-1421.72,0.00,0.00,68578.28,0.00,0.00,0.00,,528,94262J
2015,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES,0.00,1679900.83,1679900.83,0.00,0.00,1679900.83,0.00,0.00,0.00,,363,94L140
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,OPEN STREETS PROGRAM,0.00,220740.74,499278.61,0.00,0.00,499278.61,0.00,278537.87,0.00,SPECIAL,59C,94WD10
2012,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PUBLIC WORKS - BOARD,62907.00,62907.00,0.00,0.00,0.00,62907.00,0.00,0.00,0.00,,540,94H174
2012,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,AIR QUALITY EDUCATION AND OUTREACH,0.00,196609.62,196609.62,0.00,0.00,196609.62,0.00,0.00,0.00,,528,94267H
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT BUS COMMUNICATIONS,700000.00,31295.16,0.00,0.00,0.00,700000.00,0.00,0.00,668704.84,SPECIAL,385,94WA24
2019,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,VENICE BOULEVARD GREAT STREETS ENHANCEMENTS,500000.00,119604.70,-322521.42,0.00,0.00,177478.58,0.00,0.00,57873.88,SPECIAL,59C,94RV38
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PERSONNEL,113245.00,102299.99,0.00,0.00,0.00,113245.00,0.00,0.00,10945.01,,385,94W166
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ADMINISTRATIVE OFFICER,90670.00,15111.66,0.00,0.00,0.00,90670.00,0.00,0.00,75558.34,,540,94Y110
2020,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,CAPITAL IMPROVEMENT EXPENSE PROGRAM,0.00,1300.00,1300.00,0.00,0.00,1300.00,0.00,0.00,0.00,,51Q,94S154
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,HSIP6-OLYMPIC BLVD BET LRNA ST & SOTO ST-PEDESTRIAN CROSSING,0.00,792714.00,937314.00,0.00,0.00,937314.00,36773.89,0.00,144600.00,,655,94LT25
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRAFFIC STUDIES,400000.00,0.00,-150000.00,0.00,0.00,250000.00,0.00,0.00,250000.00,SPECIAL,59C,94TV47
2020,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,BUREAU OF ENGINEERING,0.00,24179.94,45000.00,0.00,0.00,45000.00,0.00,0.00,20820.06,,573,94S178
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BUREAU OF STREET LIGHTING,3081782.00,513630.34,0.00,0.00,0.00,3081782.00,0.00,0.00,2568151.66,,540,94Y184
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PERSONNEL,145633.00,24272.16,0.00,0.00,0.00,145633.00,0.00,0.00,121360.84,,51Q,94Y166
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PLAN/PROGRAM - OTHER,150000.00,0.00,-150000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,540,94T482
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,5TH/FLOWER TRANSITION TO 2ND/HOPE STATION AREA,400000.00,0.00,-400000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94J673
2018,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,146095.00,70361.12,0.00,0.00,0.00,146095.00,0.00,0.00,75733.88,EXPENSES,100,004430
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,ARTS DISTRICT/6TH STREET METRO STATION EIR,381000.00,0.00,0.00,0.00,0.00,381000.00,0.00,0.00,381000.00,SPECIAL,385,94VA30
2022,TRANSPORTATION,PERMIT PARKING PROG REV FD,TRANSPORTATION,4639165.00,3080861.39,0.00,0.00,0.00,4639165.00,0.00,0.00,1558303.61,,49C,94V194
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GRANT REIMBURSEMENTS TO GENERAL FUND,0.00,3666035.07,3666035.07,0.00,0.00,3666035.07,0.00,0.00,0.00,,655,94L799
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,MONTECITO RETAINING WALL REPLACEMENT PHASE 4 (1039 MONTECITO,650000.00,217979.94,-432020.06,0.00,0.00,217979.94,0.00,0.00,0.00,,51Q,94J652
2014,TRANSPORTATION,SPECIAL PARKING REVENUE,"REPLACEMENT PARTS, TOOLS & EQUIPMENT",1208000.00,455371.61,-752628.39,0.00,0.00,455371.61,-0.00,0.00,0.00,,363,94K070
2019,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,PW-CONTRACT ADMINISTRATION,801786.00,810571.39,8785.39,0.00,0.00,810571.39,0.00,0.00,0.00,,59C,94R176
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BIKESHARE OPERATIONS AND MAINTENANCE,15000000.00,11277257.41,0.00,0.00,0.00,15000000.00,286192.75,15110.00,3707632.59,SPECIAL,385,94WM05
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BUREAU OF STREET LIGHTING,487215.00,185188.69,316723.12,0.00,0.00,803938.12,0.00,0.00,618749.43,,51Q,94W184
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CONTROLLER,112740.00,65045.37,0.00,0.00,0.00,112740.00,0.00,0.00,47694.63,,385,94W126
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,GENERAL SERVICES DEPT,2158356.00,2159745.44,1389.44,0.00,0.00,2159745.44,0.00,0.00,0.00,,51Q,94K140
2012,TRANSPORTATION,ARRA-MICLA CP SPECIAL FUNDNTES,TRANSPORTATION,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,299,94H194
2023,TRANSPORTATION,SPECIAL PARKING REVENUE,TRANSPORTATION,1020196.00,422527.02,0.00,0.00,0.00,1020196.00,0.00,0.00,597668.98,,363,94W194
2014,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES DEPT,0.00,1708283.95,1708283.95,0.00,0.00,1708283.95,0.00,0.00,0.00,,363,94K140
2020,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,BUREAU OF ENGINEERING,139104.00,603.49,-138500.51,0.00,0.00,603.49,0.00,0.00,0.00,,528,94178S
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT FACILITY SECURITY AND MAINTENANCE,1200000.00,954319.17,-245680.83,0.00,0.00,954319.17,-0.00,0.00,0.00,SPECIAL,385,94M427
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRANSPORTATION,42689326.00,7114887.66,0.00,0.00,0.00,42689326.00,0.00,0.00,35574438.34,,540,94Y194
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BOARD OF PUBLIC WORKS,135661.00,123309.42,0.00,0.00,0.00,135661.00,0.00,0.00,12351.58,,540,94W174
2013,TRANSPORTATION,ATSAC TRUST,METROPIA,0.00,240309.00,240309.00,0.00,0.00,240309.00,0.00,0.00,0.00,,484,94J520
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RIDE AND FIELD CHECKS,2000000.00,0.00,0.00,0.00,0.00,2000000.00,0.00,0.00,2000000.00,SPECIAL,385,94VA13
2012,TRANSPORTATION,SPECIAL PARKING REVENUE,LIBRARY TRUST,150000.00,110608.00,-39392.00,0.00,0.00,110608.00,0.00,0.00,0.00,,363,94H831
2017,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,BUREAU OF ENGINEERING,124993.00,124993.00,0.00,0.00,0.00,124993.00,0.00,0.00,0.00,,528,94178N
2015,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,EQUIPMENT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,596,946734
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PERSONNEL,318052.00,311771.99,0.00,0.00,0.00,318052.00,0.00,0.00,6280.01,,540,94W166
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BUREAU OF CONTRACT ADMINISTRATION,2716245.00,427198.96,-2289046.04,0.00,0.00,427198.96,0.00,0.00,0.00,,59C,94S176
2018,TRANSPORTATION,TRANSPORTATION GRANTS FUND,I-5 N CONST. IMPACT MITIGATION TRAFFIC S INTERCON. PROJ,0.00,25784.16,425000.00,0.00,0.00,425000.00,0.00,0.00,399215.84,,655,94PT93
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,140280.00,93649.36,0.00,0.00,0.00,140280.00,0.00,0.00,46630.64,EXPENSES,100,003310
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,VISION ZERO BUS STOP SECURITY LIGHTING,495000.00,150882.40,-130000.00,0.00,0.00,365000.00,0.00,0.00,214117.60,SPECIAL,385,94RA14
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CITYRIDE SCRIP PROGRAM EXPANSION,2000000.00,0.00,-2000000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94NA07
2023,TRANSPORTATION,LOCAL TRANSPORTATION,SAN FERNANDO ROAD BIKE PATH PHASE 3 METROLINK LOCAL MATCH,450000.00,450000.00,0.00,0.00,0.00,450000.00,22500.00,0.00,0.00,SPECIAL,207,94WD20
2017,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,CITY PLANNING,0.00,14341.45,14341.45,0.00,0.00,14341.45,0.00,0.00,0.00,,573,94N168
2024,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,STREET LIGHTING IMPROVEMENTS ON DOT NEW & MODIFIELD SIGNALS,125000.00,0.00,0.00,0.00,0.00,125000.00,0.00,0.00,125000.00,,59C,94YV62
2013,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SR/YOUTH TRANS CHARTER BUS PGM,800000.00,751643.73,-48356.27,0.00,0.00,751643.73,-0.00,0.00,0.00,,385,94J226
2021,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,REIMBURSEMENT OF GENERAL FUND COSTS,145041.00,145041.00,0.00,0.00,0.00,145041.00,0.00,0.00,0.00,,523,94T299
2016,TRANSPORTATION,SPECIAL PARKING REVENUE,INFORMATION TECHNOLOGY AGENCY,0.00,722.00,722.00,0.00,0.00,722.00,0.00,0.00,0.00,,363,94M132
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRANSPORTATION,9391162.00,6454419.52,-2936742.48,0.00,0.00,6454419.52,0.00,0.00,0.00,,59C,94T194
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,INTERSECTION IMPROVEMENTS ON HYPERION AVE & GLENDALE BLVD,0.00,1183050.75,7800000.00,0.00,0.00,7800000.00,186186.15,0.00,6616949.25,,655,94NT48
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FTA CARES COVID-19 RECOVERY FUNDS,0.00,15831242.99,15831269.99,0.00,0.00,15831269.99,272127.55,0.00,27.00,,385,94TA31
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS - CRRSAA,0.00,2200000.00,19594100.00,0.00,0.00,19594100.00,1873861.11,0.00,17394100.00,,385,94WA36
2017,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BICYCLE PLAN/PROGRAM - OTHER,2200000.00,1029521.86,-1096545.65,0.00,0.00,1103454.35,27607.42,0.00,73932.49,SPECIAL,51Q,94N482
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,UNIMPROVED MEDIAN ISLAND MAINTENANCE,1000000.00,0.00,-750000.00,0.00,0.00,250000.00,0.00,0.00,250000.00,SPECIAL,59C,94SV50
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,SPEED TABLE FOR 5600 BLOCK - ALDAMA ST,200000.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,200000.00,,540,94YC17
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAVEL & TRAINING,40000.00,37681.70,0.00,0.00,0.00,40000.00,3605.01,0.00,2318.30,,540,94R314
2014,TRANSPORTATION,TRANSPORTATION GRANTS FUND,REIMBURSEMENT OF GENERAL FUND COSTS,42557206.00,46360899.05,3803693.05,0.00,0.00,46360899.05,0.00,0.00,0.00,,655,94K299
2024,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,CONTINGENCY,600000.00,0.00,-133979.00,0.00,0.00,466021.00,0.00,0.00,466021.00,,59C,94YV88
2021,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,BUREAU OF STREET LIGHTING,0.00,10711.97,10711.97,0.00,0.00,10711.97,0.00,0.00,0.00,,573,94T184
2022,TRANSPORTATION,DEPT TRANSPORTATION TRUST,CD13 HOLLYWOOD AREA CRUB REPAINTING,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,840,94VE29
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,LAGUNA AVENUE PEDESTRIAN ACTIVATED CROSSWALK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94L498
2016,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,EXPOSITION BLVD BIKE PATH PHASE 2,1255858.00,1226930.07,-28927.93,0.00,0.00,1226930.07,0.00,0.00,0.00,,540,94MC04
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,CAPITAL IMPROVEMENT EXPENSE PROGRAM,0.00,30385.87,30385.87,0.00,0.00,30385.87,0.00,0.00,0.00,,51Q,94Y154
2014,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,557875.00,527742.06,0.00,0.00,0.00,557875.00,-0.00,0.00,30132.94,EXPENSES,100,006010
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONSTRUCTION EXPENSE,4560.00,0.00,0.00,0.00,3789.42,770.58,0.00,0.00,770.58,EXPENSES,100,003030
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ALEXANDRIA AVE ELEMENTARY SCHOOL NEIGHBORHOOD SAFETY IMPROV,0.00,0.00,4480000.00,0.00,0.00,4480000.00,0.00,0.00,4480000.00,,655,94ST1M
2016,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,REIMBURSEMENT OF GENERAL FUND COSTS,132780.00,14112.08,-118667.92,0.00,0.00,14112.08,0.00,0.00,0.00,,573,94M299
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,LOS ANGELES RIVER BIKE PATH REPAIR NEAR FERRARO FIELDS,1500000.00,0.00,-57443.08,0.00,0.00,1442556.92,0.00,0.00,1442556.92,,59C,94WV64
2019,TRANSPORTATION,PERMIT PARKING PROG REV FD,DOCKLESS ON-DEMAND MOBILITY PROGRAM,0.00,1950210.90,2041298.00,0.00,0.00,2041298.00,96902.46,0.00,91087.10,,49C,94RB07
2024,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,CAPITAL IMPROVEMENT EXPENSE PROGRAM,0.00,939000.00,939000.00,0.00,0.00,939000.00,0.00,0.00,0.00,,523,94Y154
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,SLOW STREETS PROGRAM,0.00,347927.75,420000.00,0.00,0.00,420000.00,0.00,0.00,72072.25,,59C,94WV73
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BSCP-COMMUTER EXPRESS EXPANSIO,18500000.00,2508677.85,0.00,0.00,15991322.15,2508677.85,0.00,0.00,0.00,,385,94H247
2023,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES,0.00,0.00,1583647.47,0.00,0.00,1583647.47,0.00,0.00,1583647.47,,363,94W140
2013,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MEMBERSHIP & SUBSCRIPTIONS,35000.00,16764.00,-18236.00,0.00,0.00,16764.00,0.00,0.00,0.00,,385,94J223
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,208685.00,60057.74,0.00,0.00,0.00,208685.00,60000.00,0.00,148627.26,EXPENSES,100,002120
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PAINT AND SIGN MAINTENANCE,100000.00,97746.10,0.00,0.00,0.00,100000.00,0.00,0.00,2253.90,SPECIAL,540,94T478
2023,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GENERAL SERVICES,0.00,44007.09,44007.09,0.00,0.00,44007.09,0.00,0.00,0.00,,655,94W140
2012,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,TRANSPORTATION GRANT FUND-MATCHING FUNDS,0.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,,681,94H655
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BUREAU OF CONTRACT ADMINISTRATION,115585.00,37476.60,-78108.40,0.00,0.00,37476.60,0.00,0.00,0.00,,385,94S176
2022,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,"VISION ZERO CONTRACTS, SPEED SURVEYS, OUTREACH CAMPAIGN",200000.00,104954.13,0.00,0.00,0.00,200000.00,10460.13,0.00,95045.87,SPECIAL,51Q,94VM11
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,MISSING APPROPRIATION NAME,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94M306
2023,TRANSPORTATION,SPECIAL PARKING REVENUE,"REPLACEMENT PARTS, TOOLS AND EQUIPMENT",1400000.00,653257.63,0.00,0.00,0.00,1400000.00,490636.16,79420.00,667322.37,SPECIAL,363,94W070
2013,TRANSPORTATION,DEPT TRANSPORTATION TRUST,TRAFFIC SIGNAL UPGRADES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,840,94J371
