FISCAL YEAR,FISCAL MONTH NAME,DEPARTMENT NAME,REVENUE SOURCE NAME,REVENUE COLLECTED,FUND NAME,REVENUE SOURCE CLASS NAME,REVENUE SOURCE CATEGORY NAME,REVENUE SOURCE CATEGORY,FISCAL MONTH,FISCAL PERIOD,FUND,DEPARTMENT,REVENUE SOURCE CLASS,REVENUE SOURCE
2014,SEPTEMBER,TRANSPORTATION,INTERFD OPER TRANS-PROP C,3146422.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,3,201403,100,94,561,5638
2014,SEPTEMBER,TRANSPORTATION,INTERFD OPER TRANS-SEWER CONS,8571.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,3,201403,100,94,561,5615
2014,SEPTEMBER,TRANSPORTATION,INTERFD OPER TRANS-SP GAS TAX,386326.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,3,201403,100,94,561,5627
2014,SEPTEMBER,TRANSPORTATION,INTERFD OPER TRANS-TRAFFIC SAFETY,414644.88,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,3,201403,100,94,561,5628
2014,SEPTEMBER,TRANSPORTATION,LEASES & RENTALS-OTHER,485.96,PROPOSITION A LOCAL TRANSIT,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,3,201403,385,94,493,4934
2014,SEPTEMBER,TRANSPORTATION,LEASES & RENTALS-OTHER,98884.78,SPECIAL PARKING REVENUE,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,3,201403,363,94,493,4934
2014,SEPTEMBER,TRANSPORTATION,LOCAL TRANSPORTATION,1022294.45,LOCAL TRANSPORTATION,TRANSPORTATION TAX,TAXES,30,3,201403,207,94,313,3135
2014,SEPTEMBER,TRANSPORTATION,MAINTENANCE AGREEMENT,11819.32,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,428,4290
2014,SEPTEMBER,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,-21925.60,GENERAL FUND (GENERAL BUDGET),MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,3,201403,100,94,516,5188
2014,SEPTEMBER,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,11821.18,PROPOSITION A LOCAL TRANSIT,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,3,201403,385,94,516,5188
2014,SEPTEMBER,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,3926.51,SPECIAL PARKING REVENUE,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,3,201403,363,94,516,5188
2014,SEPTEMBER,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,458.40,TRANSP REGULATION &ENFORCEMENT,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,3,201403,596,94,516,5188
2014,SEPTEMBER,TRANSPORTATION,MISCELLANEOUS SERVICE CHARGES,460488.39,PROPOSITION A LOCAL TRANSIT,OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,3,201403,385,94,465,4651
2014,SEPTEMBER,TRANSPORTATION,MISC-ST SIDEWALK & CURB REPAIRS,624.54,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,428,4295
2014,SEPTEMBER,TRANSPORTATION,MOBILE SRC AIR POLLUTION GRANT,1208285.77,MOBILE SOURCE AIR POLLUT REDUC,STATE GRANTS/AGREEMENTS,REVENUES FR OTH GOVT AGCY-STAT,33,3,201403,528,94,336,3368
2014,SEPTEMBER,TRANSPORTATION,OTHER FEDERAL GRANTS,646006.97,TRANSPORTATION GRANTS FUND,OTHER INTERGOVTL-FEDERAL,REVENUES FR OTH GOVT AGCY-FED,36,3,201403,655,94,368,3684
2014,SEPTEMBER,TRANSPORTATION,OVERNIGHT PARKING,97128.00,PERMIT PARKING PROG REV FD,STREETS AND CURB PERMITS,LICENSES AND PERMITS,32,3,201403,49C,94,324,3258
2014,SEPTEMBER,TRANSPORTATION,PARKING FACILITIES REVENUE,522504.42,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,3,201403,363,94,449,4495
2014,SEPTEMBER,TRANSPORTATION,"PENALTY-DRIVER,VEHICLE & ATTEN",2490.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,3,201403,596,94,483,4832
2014,SEPTEMBER,TRANSPORTATION,PENALTY-TAXICAB OPERATOR,1140.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,3,201403,596,94,483,4833
2014,SEPTEMBER,TRANSPORTATION,PROPOSITION 1B-LOCAL ROAD & ST,4382979.47,MEASURE R LOCAL RETURN FUND,STATE GRANTS/AGREEMENTS,REVENUES FR OTH GOVT AGCY-STAT,33,3,201403,51Q,94,336,3372
2014,SEPTEMBER,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT TAX,5877023.94,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION TAX,TAXES,30,3,201403,385,94,313,3131
2014,SEPTEMBER,TRANSPORTATION,PUBLIC RIGHT OF WAY CONST ENF,1180.00,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,3,201403,100,94,328,3293
2014,SEPTEMBER,TRANSPORTATION,REIMB FROM OTHER AGENCIES,370855.00,PROPOSITION A LOCAL TRANSIT,REIMB FROM OTHER AGENGIES,REVENUES FROM OTHER AGENCIES,38,3,201403,385,94,381,3811
2014,SEPTEMBER,TRANSPORTATION,REIMB FROM OTHER AGENCIES,347564.28,PROPOSITION C ANTIGRIDLOCK IMP,REIMB FROM OTHER AGENGIES,REVENUES FROM OTHER AGENCIES,38,3,201403,540,94,381,3811
2014,SEPTEMBER,TRANSPORTATION,REIMB-METRO RAIL PROJECT,150894.84,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,3,201403,100,94,530,5311
2014,SEPTEMBER,TRANSPORTATION,REIMB-METRO RAIL PROJECT,718964.64,PROPOSITION C ANTIGRIDLOCK IMP,REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,3,201403,540,94,530,5311
2014,SEPTEMBER,TRANSPORTATION,REIMB OF RELATED COST-PR YR,3487034.00,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,3,201403,100,94,530,5331
2014,SEPTEMBER,TRANSPORTATION,RELATED COST REIMB-OTHERS,139322.65,TRANSPORTATION GRANTS FUND,REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,3,201403,655,94,530,5361
2014,SEPTEMBER,TRANSPORTATION,SALVAGE RECEIPTS,6497.61,GENERAL FUND (GENERAL BUDGET),SALE OF FIXED ASSETS,OTHER REVENUE SOURCES,51,3,201403,100,94,514,5142
2014,SEPTEMBER,TRANSPORTATION,SERVICE TO AIRPORTS,104641.26,COASTAL TRANSP CORRIDOR TRUST,QUASI-EXTERNAL TRANSACTION,CHARGES FOR CURRENT SERVICES,40,3,201403,447,94,459,4595
2014,SEPTEMBER,TRANSPORTATION,SERVICE TO WATER & POWER,125684.75,GENERAL FUND (GENERAL BUDGET),QUASI-EXTERNAL TRANSACTION,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,459,4596
2014,SEPTEMBER,TRANSPORTATION,SEWER CONS & MAIN RELATED COST,6268.00,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,3,201403,100,94,530,5328
2014,SEPTEMBER,TRANSPORTATION,SPECIAL ENV IMPACT REPORT FEE,87893.00,GENERAL FUND (GENERAL BUDGET),ENGR INSPECTION & OTHER CHARGES,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,420,4240
2014,SEPTEMBER,TRANSPORTATION,SPECIAL PARKING REVENUE,4446529.64,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,3,201403,363,94,449,4494
2014,SEPTEMBER,TRANSPORTATION,STREET NAME SIGNS,572.00,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,428,4294
2014,SEPTEMBER,TRANSPORTATION,TAXICAB VEHICLE BANDIT FEE,32730.00,TRANSP REGULATION &ENFORCEMENT,OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,3,201403,596,94,328,3292
2014,SEPTEMBER,TRANSPORTATION,TEMPORARY TRAFFIC SIGNS,71045.49,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,428,4293
2014,SEPTEMBER,TRANSPORTATION,TRANSPORTATION CONTROL SERVICES,54417.87,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,432,4355
2014,SEPTEMBER,TRANSPORTATION,TRANSPORTATION IMPACT ASSMT FEE,500.00,COASTAL TRANSP CORRIDOR TRUST,ASSESSMENTS,ASSESSMENTS,31,3,201403,447,94,317,3178
2014,SEPTEMBER,TRANSPORTATION,TRANSPORTATION IMPACT ASSMT FEE,1000.00,COLORADO BLVD SPECIFIC PLAN CO,ASSESSMENTS,ASSESSMENTS,31,3,201403,49M,94,317,3178
2014,SEPTEMBER,TRANSPORTATION,TRANSPORTATION IMPACT ASSMT FEE,8100.00,VENTURA/CAHUENGA CORRIDOR PLAN,ASSESSMENTS,ASSESSMENTS,31,3,201403,523,94,317,3178
2014,SEPTEMBER,TRANSPORTATION,TRANSPORTATION IMPACT ASSMT FEE,954.00,WEST LA TRANSP IMPROV & MITIGA,ASSESSMENTS,ASSESSMENTS,31,3,201403,681,94,317,3178
2014,SEPTEMBER,TRANSPORTATION,U PERMITS,177917.25,PERMIT PARKING PROG REV FD,STREETS AND CURB PERMITS,LICENSES AND PERMITS,32,3,201403,49C,94,324,3244
2014,SEPTEMBER,TRANSPORTATION,VEHICLE APPLICATION,129896.00,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,3,201403,100,94,328,3287
2014,SEPTEMBER,TRANSPORTATION,WARNING SIGNS,2140.11,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,3,201403,100,94,428,4292
2023,MARCH,TRANSPORTATION,INTEREST INCOME-OTHER,175.63,COLORADO BLVD SPECIFIC PLAN CO,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,9,202309,49M,94,490,4903
2022,DECEMBER,TRANSPORTATION,RELATED COST REIMB-OTHERS,8334.00,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,6,202206,100,94,530,5361
2022,DECEMBER,TRANSPORTATION,DRIVER PERMIT,334454.76,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,6,202206,100,94,328,3289
2022,DECEMBER,TRANSPORTATION,EXPEDITED PERMIT FEE,6000.00,DEPARTMENT OF TRANSPORTATION EXPEDITED FEE TRUST FUND,OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,6,202206,57P,94,465,4673
2022,DECEMBER,TRANSPORTATION,TRANSPORTATION CONTROL SERVICES,129521.62,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,6,202206,100,94,432,4355
2022,DECEMBER,TRANSPORTATION,PROPOSITION R LOCAL RETURN,5099315.43,MEASURE R LOCAL RETURN FUND,TRANSPORTATION TAX,TAXES,30,6,202206,51Q,94,313,3133
2022,DECEMBER,TRANSPORTATION,MOBILE SRC AIR POLLUTION GRANT,1289112.88,MOBILE SOURCE AIR POLLUT REDUC,STATE GRANTS/AGREEMENTS,REVENUES FR OTH GOVT AGCY-STAT,33,6,202206,528,94,336,3368
2022,DECEMBER,TRANSPORTATION,INTEREST INCOME-OTHER,1325.35,VENICE COASTAL PARKING IMPACT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,6,202206,864,94,490,4903
2022,DECEMBER,TRANSPORTATION,REIMB FROM OTHER AGENCIES,409365.92,TRANSPORTATION GRANTS FUND,REIMB FROM OTHER AGENGIES,REVENUES FROM OTHER AGENCIES,38,6,202206,655,94,381,3811
2022,DECEMBER,TRANSPORTATION,INTEREST INCOME-OTHER,2989.24,LOCAL TRANSPORTATION,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,6,202206,207,94,490,4903
2022,DECEMBER,TRANSPORTATION,INTEREST INCOME-OTHER,7071.52,NEIGHBORHOOD TRAFFIC MGMT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,6,202206,47H,94,490,4903
2022,DECEMBER,TRANSPORTATION,INTEREST INCOME-OTHER,176.79,COLORADO BLVD SPECIFIC PLAN CO,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,6,202206,49M,94,490,4903
2015,AUGUST,TRANSPORTATION,ADDL INTERFD TRANS-OTHER FUNDS,159384.00,GENERAL FUND (GENERAL BUDGET),ADDL INTERFD OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201502,100,94,569,5693
2015,AUGUST,TRANSPORTATION,BAD CHECK COLLECTION FEES,1335.00,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,432,4332
2015,AUGUST,TRANSPORTATION,CREDIT CARD SERVICE CHARGE,87812.51,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,432,4357
2015,AUGUST,TRANSPORTATION,DAMAGES REPAIRED TRAFFICSAFETY,42024.46,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,428,4289
2015,AUGUST,TRANSPORTATION,DRIVER PERMIT,95311.50,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,2,201502,100,94,328,3289
2015,AUGUST,TRANSPORTATION,FINGER PRINT FEES,228.00,GENERAL FUND (GENERAL BUDGET),OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,465,4653
2015,AUGUST,TRANSPORTATION,HOLLYWOOD/HIGHLAND LOT 745,1026569.87,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,2,201502,363,94,449,4491
2015,AUGUST,TRANSPORTATION,IMPOUND FEE,1940.10,GENERAL FUND (GENERAL BUDGET),OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,465,4662
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,7967.33,ATSAC TRUST,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,484,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,1612.78,CENTRAL CITY WEST TRAN IMPACT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,522,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,13742.57,COASTAL TRANSP CORRIDOR TRUST,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,447,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,26.80,COLORADO BLVD SPECIFIC PLAN CO,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,49M,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,4572.23,LOCAL TRANSPORTATION,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,207,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,2483.67,MEASURE R BUS OPERATIONS FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,51R,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,40681.38,MEASURE R LOCAL RETURN FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,51Q,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,2890.54,MOBILE SOURCE AIR POLLUT REDUC,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,528,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,1815.68,NEIGHBORHOOD TRAFFIC MGMT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,47H,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,24.38,OXFORD TRIANGLE/VENICE NEIGHBO,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,912,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,5300.49,PERMIT PARKING PROG REV FD,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,49C,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,179678.00,PROPOSITION A LOCAL TRANSIT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,385,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,20960.86,PROPOSITION C ANTIGRIDLOCK IMP,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,540,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,48467.53,SPECIAL PARKING REVENUE,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,363,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,65907.33,TRANSPORTATION GRANTS FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,655,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,38.91,TRANSPORTATION REVIEW FEE FUND,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,50Y,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,712.70,TRANSP REGULATION &ENFORCEMENT,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,596,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,5708.98,VENTURA/CAHUENGA CORRIDOR PLAN,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,523,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,7959.69,WARNER CTR TRANS IMPROVE TRUST,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,573,94,490,4903
2015,AUGUST,TRANSPORTATION,INTEREST INCOME-OTHER,5252.85,WEST LA TRANSP IMPROV & MITIGA,INVESTMENT EARNINGS,REVENUE FR USE OF MONEY & PROP,49,2,201502,681,94,490,4903
2015,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-MEASURE R LOCAL RET,189698.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201502,100,94,561,5659
2015,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-PROP C,2821275.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201502,100,94,561,5638
2015,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-SEWER CONS,8332.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201502,100,94,561,5615
2015,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-SP GAS TAX,373349.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201502,100,94,561,5627
2015,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-TRAFFIC SAFETY,399457.05,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201502,100,94,561,5628
2015,AUGUST,TRANSPORTATION,LEASES & RENTALS-OTHER,444.15,PROPOSITION A LOCAL TRANSIT,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,2,201502,385,94,493,4934
2015,AUGUST,TRANSPORTATION,LEASES & RENTALS-OTHER,65915.92,SPECIAL PARKING REVENUE,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,2,201502,363,94,493,4934
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,350000.00,BICYCLE PLAN TRUST FUND,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201502,55C,94,516,5188
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,15000.00,DEPT TRANSPORTATION TRUST,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201502,840,94,516,5188
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,4122.39,GENERAL FUND (GENERAL BUDGET),MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201502,100,94,516,5188
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,26844.08,PROPOSITION A LOCAL TRANSIT,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201502,385,94,516,5188
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,15224.17,SPECIAL PARKING REVENUE,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201502,363,94,516,5188
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,7965.80,TRANSPORTATION GRANTS FUND,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201502,655,94,516,5188
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,6743.85,TRANSP REGULATION &ENFORCEMENT,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201502,596,94,516,5188
2015,AUGUST,TRANSPORTATION,MISCELLANEOUS SERVICE CHARGES,460185.07,PROPOSITION A LOCAL TRANSIT,OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,2,201502,385,94,465,4651
2015,AUGUST,TRANSPORTATION,OTHER FEDERAL GRANTS,37625.57,MEASURE R LOCAL RETURN FUND,OTHER INTERGOVTL-FEDERAL,REVENUES FR OTH GOVT AGCY-FED,36,2,201502,51Q,94,368,3684
2015,AUGUST,TRANSPORTATION,OTHER FEDERAL GRANTS,363019.50,TRANSPORTATION GRANTS FUND,OTHER INTERGOVTL-FEDERAL,REVENUES FR OTH GOVT AGCY-FED,36,2,201502,655,94,368,3684
2015,AUGUST,TRANSPORTATION,OVERNIGHT PARKING,761.50,PERMIT PARKING PROG REV FD,STREETS AND CURB PERMITS,LICENSES AND PERMITS,32,2,201502,49C,94,324,3258
2015,AUGUST,TRANSPORTATION,PARKING FACILITIES REVENUE,666607.20,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,2,201502,363,94,449,4495
2015,AUGUST,TRANSPORTATION,"PENALTY-DRIVER,VEHICLE & ATTEN",3720.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,2,201502,596,94,483,4832
2015,AUGUST,TRANSPORTATION,PENALTY-TAXICAB OPERATOR,1960.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,2,201502,596,94,483,4833
2015,AUGUST,TRANSPORTATION,PREFERENTIAL PARKING,276964.00,PERMIT PARKING PROG REV FD,STREETS AND CURB PERMITS,LICENSES AND PERMITS,32,2,201502,49C,94,324,3257
2015,AUGUST,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT TAX,6111988.02,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION TAX,TAXES,30,2,201502,385,94,313,3131
2015,AUGUST,TRANSPORTATION,PROPOSITION C LOCAL TRANSIT TAX,5076121.42,PROPOSITION C ANTIGRIDLOCK IMP,TRANSPORTATION TAX,TAXES,30,2,201502,540,94,313,3132
2015,AUGUST,TRANSPORTATION,PROPOSITION R LOCAL RETURN,3791453.57,MEASURE R LOCAL RETURN FUND,TRANSPORTATION TAX,TAXES,30,2,201502,51Q,94,313,3133
2015,AUGUST,TRANSPORTATION,PUBLIC RIGHT OF WAY CONST ENF,2145.00,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,2,201502,100,94,328,3293
2015,AUGUST,TRANSPORTATION,REIMB FROM OTHER AGENCIES,1331127.05,PROPOSITION A LOCAL TRANSIT,REIMB FROM OTHER AGENGIES,REVENUES FROM OTHER AGENCIES,38,2,201502,385,94,381,3811
2015,AUGUST,TRANSPORTATION,REIMB-METRO RAIL PROJECT,178132.43,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,2,201502,100,94,530,5311
2015,AUGUST,TRANSPORTATION,REIMB-METRO RAIL PROJECT,1157544.72,PROPOSITION C ANTIGRIDLOCK IMP,REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,2,201502,540,94,530,5311
2015,AUGUST,TRANSPORTATION,REIMB OF RELATED COST-PR YR,295884.75,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,2,201502,100,94,530,5331
2015,AUGUST,TRANSPORTATION,SEWER CONS & MAIN RELATED COST,7009.00,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,2,201502,100,94,530,5328
2015,AUGUST,TRANSPORTATION,SPECIAL ENV IMPACT REPORT FEE,86012.00,GENERAL FUND (GENERAL BUDGET),ENGR INSPECTION & OTHER CHARGES,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,420,4240
2015,AUGUST,TRANSPORTATION,SPECIAL PARKING REVENUE,4559736.24,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,2,201502,363,94,449,4494
2015,AUGUST,TRANSPORTATION,TAXICAB VEHICLE BANDIT FEE,55200.00,TRANSP REGULATION &ENFORCEMENT,OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,2,201502,596,94,328,3292
2015,AUGUST,TRANSPORTATION,TEMPORARY TRAFFIC SIGNS,67490.70,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,428,4293
2015,AUGUST,TRANSPORTATION,TRANSPORTATION CONTROL SERVICES,117732.22,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,2,201502,100,94,432,4355
